,country_code,normalized_job_code,rural,uuid
0,AT,861a9b9151e11362eb3c77ca914172d0,Urban,54f0f1c0-dda1-0133-a559-0a81e8b09a82
1,AT,049a3f3a2b5f85cb2971ba77ad66e10c,Rural,15626d40-db13-0133-ea5c-0a81e8b09a82
2,AT,f4b2fb1aa40f661488e2782b6d57ad2f,Urban,24954a70-db98-0133-4a64-0a81e8b09a82
3,AT,27af8700f5577cec835acee2cb90a2ff,Rural,28583060-dbe2-0133-ff9c-0a81e8b09a82
4,AT,c1b670eba9ccb65e7c99f7da116d5b9c,Urban,dd743bb0-d9a5-0133-53b2-0a81e8b09a82
5,AT,d71c4164c99a5f9bca773e755a72f40f,Urban,4fde2370-da48-0133-3a42-0a81e8b09a82
6,AT,2ee80cf30e2483dfe0947adc0428f8c5,Urban,226cf850-db28-0133-c51a-0a81e8b09a82
7,AT,897ef18a9321616495831a4b4b0c1bb2,Urban,2351fbe0-de4c-0133-0d58-0a81e8b09a82
8,AT,a003702c0cea282e17967772dd83de5e,Urban,960b1ce0-db01-0133-528c-0a81e8b09a82
9,AT,04c82eae29e1c4a30eac0710b74ab276,Rural,a96ed910-de55-0133-2582-0a81e8b09a82
10,AT,fcaf4aac737e53ad24b9f32f08b8740f,Urban,68eace50-db46-0133-97f7-0a81e8b09a82
11,AT,d71c4164c99a5f9bca773e755a72f40f,Urban,aa342b50-dcc4-0133-f797-0a81e8b09a82
12,AT,3833bd699e7afe4665b595f282da0387,Rural,b1eb3870-decd-0133-d783-0a81e8b09a82
13,AT,19e384e977796c25780d8c28b12089c4,Rural,1c8ea6b0-de3d-0133-605b-0a81e8b09a82
14,AT,474b962c13632a04e42a546be4f11dbb,Rural,2c1d6730-d970-0133-9161-0a81e8b09a82
15,AT,dac2e921c1f887d9efc4c06fa33c1397,Rural,12cd5b70-dbd8-0133-0395-0a81e8b09a82
16,AT,996da29c84f5eed00da40c230f4c4078,Urban,4c7898b0-dbdf-0133-993b-0a81e8b09a82
17,AT,fcaf4aac737e53ad24b9f32f08b8740f,Urban,11c61a10-de3d-0133-6041-0a81e8b09a82
18,AT,d71c4164c99a5f9bca773e755a72f40f,Rural,ab8dbf10-da1c-0133-f11e-0a81e8b09a82
19,AT,cc2b26cc436bea36bda3bdd7367c411a,Rural,d13a4420-dee8-0133-05e2-0a81e8b09a82
20,AT,25fe195cbf915c0824fa6c44e6d0008c,Urban,9699d060-da5b-0133-0ae5-0a81e8b09a82
21,AT,76385cb24e831b3364279b9de5641d8f,Rural,9b532680-dc7d-0133-dcb5-0a81e8b09a82
22,AT,16b67d7f57698455aefbc1ae1b358b50,Rural,896c8bd0-dcc3-0133-f1c3-0a81e8b09a82
23,AT,b24ece3300d2f8ab34f9553e531183d6,Urban,5441c1d0-d9a6-0133-55bc-0a81e8b09a82
24,AT,5db2c8d6539f983e1ca3d7c5b939e190,Urban,581cec00-da3e-0133-cc6b-0a81e8b09a82
25,AT,861a9b9151e11362eb3c77ca914172d0,Rural,cf24ed60-da3f-0133-0034-0a81e8b09a82
26,AT,36675c937946c8a4fc5de7d0b4c850de,Urban,03d9e160-da33-0133-b694-0a81e8b09a82
27,AT,847165cfda6b1dc82ae22b967da8af2f,Rural,c76aa3e0-dbf6-0133-0d62-0a81e8b09a82
28,AT,2ca138b991c50dc6696238e5ad800142,Rural,2fe1bc10-d8e2-0133-b57f-0a81e8b09a82
29,AT,16b67d7f57698455aefbc1ae1b358b50,Rural,e75d0b00-d9b1-0133-043b-0a81e8b09a82
30,AT,36675c937946c8a4fc5de7d0b4c850de,Urban,9cd06680-da89-0133-519f-0a81e8b09a82
31,AT,36675c937946c8a4fc5de7d0b4c850de,Rural,2eea8620-dbeb-0133-3910-0a81e8b09a82
32,AT,cc2b26cc436bea36bda3bdd7367c411a,Rural,b8616bf0-dd85-0133-dabb-0a81e8b09a82
33,AT,fcaf4aac737e53ad24b9f32f08b8740f,Rural,5eaadd90-da5a-0133-3d70-0a81e8b09a82
34,AT,049a3f3a2b5f85cb2971ba77ad66e10c,Rural,ca3f65f0-d92b-0133-3959-0a81e8b09a82
35,AT,775190277a849cba701b306a7b374c0a,Urban,dade6cd0-d9ff-0133-f2d6-0a81e8b09a82
36,AT,022d0e3a40aa3e29bca6851542b27842,Urban,437716a0-da35-0133-f2f5-0a81e8b09a82
37,AT,375017ea3a1a97f5ea676def873bb25b,Urban,8cc018b0-de4b-0133-0bcd-0a81e8b09a82
38,AT,1dd2fdc8a3981f2a1d8f0ca173952bb8,Urban,89977480-d9bc-0133-b906-0a81e8b09a82
39,AT,e605336f5a43949cb6b18054fd1937f1,Urban,11cf6080-dc70-0133-8090-0a81e8b09a82
40,AT,800b621aab5dac18f4caef621fa43a49,Urban,08159f30-dbf8-0133-74d8-0a81e8b09a82
41,AT,d06dfb43c95b585a89ae556c9221b573,Urban,d2a9a650-d964-0133-4678-0a81e8b09a82
42,AT,a12a16280e22220f9354333f6fe1b22a,Rural,54fcb0f0-da1c-0133-efb9-0a81e8b09a82
43,AT,477b53ef09d37f098d5ed74f47fcbaec,Urban,c7ec06f0-d94c-0133-0451-0a81e8b09a82
44,AT,e2f68bf748aea2c7d2254550c0c92b23,Rural,1ab814f0-dba0-0133-a033-0a81e8b09a82
45,AT,45033f83b6e0309eca9bcd76917f15d0,Urban,5f4a8e40-dbd4-0133-e162-0a81e8b09a82
46,AT,141ddda0f613da65a280521247de0e9f,Rural,1d39d3e0-dbb6-0133-4ab6-0a81e8b09a82
47,AT,3ddea1b52e520996e4ec9fb70dc8b86b,Urban,51f5c5c0-de40-0133-1e9a-0a81e8b09a82
48,AT,6408c0d7c7faa4ced47fbc8474698126,Rural,18a82df0-d8ec-0133-a131-0a81e8b09a82
49,AT,07b7555fa790debaf5b04d1409ad5f11,Rural,eef7cc30-de4e-0133-1438-0a81e8b09a82
50,AT,36675c937946c8a4fc5de7d0b4c850de,Urban,5984b3b0-d8e0-0133-b014-0a81e8b09a82
51,AT,d71c4164c99a5f9bca773e755a72f40f,Urban,81f6b2a0-de56-0133-2850-0a81e8b09a82
52,AT,a4d5b8b38f9513825d0d94a981ebe962,Urban,19aab9f0-da4f-0133-ee5a-0a81e8b09a82
53,AT,5e93fd1a58c8a67b295f69d87d1a940d,Rural,faf3d380-db0f-0133-0e2e-0a81e8b09a82
54,AT,897ef18a9321616495831a4b4b0c1bb2,Rural,4cef99b0-db53-0133-e7f4-0a81e8b09a82
